date,t,asset,side,qty,price,notional,fee_paid,cash_change,reason,signal_score
2016-09-12,1,btc,buy,1.6402316007020192,609.67,1000.0,20.0,-1020.0,buy_reversion,63.78684444444464
2016-09-17,6,gold,buy,0.0,1308.35,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-09-18,7,gold,buy,0.0,1308.35,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-01,20,gold,buy,0.0,1322.5,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-01-05,116,btc,sell,1.6402316007020192,994.67,1631.4891662702773,32.62978332540555,1598.8593829448719,extreme_sell,-3.050000000000068
2017-01-06,117,btc,buy,0.0,999.65,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-07,118,btc,buy,0.0,896.83,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-08,119,btc,buy,0.0,908.14,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-09,120,btc,buy,0.0,910.49,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-10,121,btc,buy,0.0,906.05,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-11,122,btc,buy,0.0,785.22,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-12,123,btc,buy,0.0,780.92,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-13,124,btc,buy,0.0,826.29,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-14,125,btc,buy,0.0,817.91,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-19,130,gold,buy,2.6728378970775797e-05,1196.05,0.03196847766799639,0.0003196847766799639,-0.032288162444676353,buy_reversion,0.0024217418047381705
2017-01-20,131,gold,buy,3.2500046701698183e-05,1200.55,0.039017931067723756,0.00039017931067723756,-0.039408110378400994,buy_reversion,0.0029669478879706603
2017-01-21,132,btc,buy,0.0,895.64,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-21,132,gold,buy,0.0,1200.55,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-01-22,133,gold,buy,0.0,1200.55,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-01-25,136,btc,buy,0.0,893.045625,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-25,136,gold,buy,5.664865631739271e-05,1195.0,0.06769514429928429,0.0006769514429928429,-0.06837209574227714,buy_reversion,0.005123912361399653
2017-01-26,137,btc,buy,0.0,915.95625,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-01-26,137,gold,buy,0.0001483802398385662,1189.7,0.17652797133594222,0.0017652797133594223,-0.17829325104930166,buy_reversion,0.013302892132838319
2017-01-27,138,gold,buy,0.0002452886340752244,1184.85,0.2906302380840296,0.002906302380840296,-0.2935365404648699,buy_reversion,0.021814652450701733
2017-01-28,139,gold,buy,0.0,1184.85,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-01-29,140,gold,buy,0.0,1184.85,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-01-30,141,btc,buy,0.0,912.19,0.0,0.0,0.0,blocked_by_no_buy,0.0
2017-02-02,144,gold,sell,0.0,1221.95,0.0,0.0,0.0,blocked_by_hold,0.0
2017-02-03,145,gold,sell,0.0,1215.2,0.0,0.0,0.0,blocked_by_hold,0.0
2017-02-04,146,gold,sell,0.0,1215.2,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-02-05,147,gold,sell,0.0,1215.2,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-02-06,148,gold,sell,0.0,1226.75,0.0,0.0,0.0,blocked_by_hold,0.0
2017-02-07,149,gold,sell,0.0,1231.0,0.0,0.0,0.0,blocked_by_hold,0.0
2017-02-11,153,gold,sell,0.0,1228.3,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-02-12,154,gold,sell,0.0,1228.3,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-02-18,160,gold,sell,0.0,1241.95,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-02-19,161,gold,sell,0.0,1241.95,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-02-25,167,gold,sell,0.0,1253.65,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-02-26,168,gold,sell,0.0,1253.65,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-03-04,174,gold,sell,0.0,1226.5,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-03-05,175,gold,sell,0.0,1226.5,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-03-11,181,gold,sell,0.0,1202.65,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-03-12,182,gold,sell,0.0,1202.65,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-03-18,188,gold,sell,0.0,1229.6,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-03-19,189,gold,sell,0.0,1229.6,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-03-25,195,gold,sell,0.0,1247.5,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-03-26,196,gold,sell,0.0,1247.5,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-01,202,gold,sell,0.0,1244.85,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-02,203,gold,sell,0.0,1244.85,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-08,209,gold,sell,0.0,1266.45,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-09,210,gold,sell,0.0,1266.45,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-14,215,gold,sell,0.0,1284.15,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-15,216,gold,sell,0.0,1284.15,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-16,217,gold,sell,0.0,1284.15,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-17,218,gold,sell,0.0,1284.15,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-22,223,gold,sell,0.0,1281.85,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-23,224,gold,sell,0.0,1281.85,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-29,230,gold,sell,0.0,1266.45,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-04-30,231,gold,sell,0.0,1266.45,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-05-01,232,gold,sell,0.0,1266.45,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-05-06,237,gold,sell,0.0,1228.05,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-05-07,238,gold,sell,0.0,1228.05,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-05-13,244,gold,sell,0.0,1231.25,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-05-14,245,gold,sell,0.0,1231.25,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-05-20,251,gold,sell,0.0,1252.0,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-05-21,252,gold,sell,0.0,1252.0,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-05-27,258,gold,sell,0.0,1265.05,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-05-28,259,gold,sell,0.0,1265.05,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-05-29,260,gold,sell,0.0,1265.05,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-06-03,265,gold,sell,0.0,1274.95,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-06-04,266,gold,sell,0.0,1274.95,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-06-10,272,gold,sell,0.0,1266.55,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-06-11,273,gold,sell,0.0,1266.55,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-06-17,279,gold,sell,0.0,1255.4,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-06-18,280,gold,sell,0.0,1255.4,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-06-24,286,gold,sell,0.0,1255.7,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-06-25,287,gold,sell,0.0,1255.7,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-07-01,293,gold,sell,0.0,1242.25,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-07-02,294,gold,sell,0.0,1242.25,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-07-08,300,gold,sell,0.0,1215.65,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-07-09,301,gold,sell,0.0,1215.65,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-07-15,307,gold,sell,0.0,1230.3,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-07-16,308,gold,sell,0.0,1230.3,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-07-22,314,gold,sell,0.0,1248.55,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-07-23,315,gold,sell,0.0,1248.55,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-07-29,321,gold,sell,0.0,1264.9,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-07-30,322,gold,sell,0.0,1264.9,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-08-05,328,gold,sell,0.0,1257.7,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-08-06,329,gold,sell,0.0,1257.7,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-08-12,335,gold,sell,0.0,1286.1,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-08-13,336,gold,sell,0.0,1286.1,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-08-19,342,gold,sell,0.0,1295.8,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-08-20,343,gold,sell,0.0,1295.8,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-08-26,349,gold,sell,0.0,1285.3,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-08-27,350,gold,sell,0.0,1285.3,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-08-28,351,gold,sell,0.0,1285.3,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-09-02,356,gold,sell,0.0,1320.4,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-09-03,357,gold,sell,0.0,1320.4,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-09-09,363,gold,sell,0.0,1346.25,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-09-10,364,gold,sell,0.0,1346.25,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-09-16,370,gold,sell,0.0,1322.85,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-09-17,371,gold,sell,0.0,1322.85,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-09-23,377,gold,sell,0.0,1294.8,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-09-24,378,gold,sell,0.0,1294.8,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-09-30,384,gold,sell,0.0,1283.1,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-10-01,385,gold,sell,0.0,1283.1,0.0,0.0,0.0,blocked_by_calendar,0.0
2017-10-07,391,gold,sell,0.0,1261.8,0.0,0.0,0.0,blocked_by_calendar,0.0
