date,t,asset,side,qty,price,notional,fee_paid,cash_change,reason,signal_score
2016-09-12,1,btc,buy,0.9463762275822746,609.67,576.9771946700853,11.539543893401706,-588.516738563487,buy_reversion,35.88010000000011
2016-09-13,2,btc,buy,0.10793380330210167,610.92,65.93891911331995,1.3187783822663992,-67.25769749558636,buy_reversion,9.985599999999799
2016-09-14,3,btc,buy,0.14169650616907425,608.82,86.26766688585579,1.7253533377171157,-87.9930202235729,buy_reversion,15.563024999999497
2016-09-15,4,gold,buy,0.15603652798367845,1310.8,204.53268088100572,2.0453268088100574,-206.57800768981576,buy_reversion,105.67840000000412
2016-09-16,5,gold,buy,0.025811090383882736,1308.35,33.76994010375297,0.3376994010375297,-34.107639504790505,buy_reversion,89.87040000000034
2016-09-17,6,btc,buy,0.00202751535011443,607.04,1.2307829181334637,0.024615658362669275,-1.255398576496133,buy_reversion,4.901796000000246
2016-09-18,7,btc,buy,0.001033903754325167,611.58,0.6323148580701857,0.012646297161403714,-0.6449611552315895,buy_momentum,2.759999999999991
2016-09-19,8,gold,buy,0.00031652183760963205,1314.85,0.4161787381810247,0.004161787381810247,-0.4203405255628349,buy_momentum,4.0499999999999545
2016-09-20,9,gold,buy,0.00041347720929720087,1313.8,0.5432263575746625,0.005432263575746625,-0.5486586211504092,buy_momentum,5.4500000000000455
2016-09-21,10,btc,buy,0.020753670977174545,598.88,12.42895847481029,0.24857916949620582,-12.677537644306495,buy_reversion,70.39209999999977
2016-09-22,11,btc,buy,5.830157387223396e-18,597.42,3.4830526262750008e-15,6.966105252550002e-17,-3.552713678800501e-15,buy_reversion,62.82147600000071
2016-09-24,13,gold,sell,0.0,,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-09-25,14,gold,sell,0.0,,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-01,20,gold,sell,0.0,,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-02,21,gold,sell,0.0,,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-08,27,gold,sell,0.0,,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-09,28,gold,sell,0.0,,0.0,0.0,0.0,blocked_by_calendar,0.0
2016-10-15,34,gold,sell,0.0,,0.0,0.0,0.0,blocked_by_calendar,0.0
